reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
15,35,13,0,0,0,1,41.09687710000435,41.7122362999944,41.7122362999944,42.10929449996911,t,5.786022100015543,109678,001,2022-10-21_12h17.51.907,Tutorial 6,2022.2.4,60.17129563182039,
49,60,89,0,1,1,4,47.68484699999681,48.65936980000697,48.65936980000697,48.69236759998603,l,1.5358888000482693,109678,001,2022-10-21_12h17.51.907,Tutorial 6,2022.2.4,60.17129563182039,
67,75,119,0,2,2,5,50.22629580000648,51.22587239998393,51.22587239998393,51.22587239998393,l,1.08761449996382,109678,001,2022-10-21_12h17.51.907,Tutorial 6,2022.2.4,60.17129563182039,
78,80,162,0,3,3,6,52.346659799979534,53.34272409998812,53.34272409998812,53.35923859995091,t,2.1538809000048786,109678,001,2022-10-21_12h17.51.907,Tutorial 6,2022.2.4,60.17129563182039,
27,50,21,0,4,4,2,55.52590189996408,56.52586189995054,56.52586189995054,56.52586189995054,l,0.541316699993331,109678,001,2022-10-21_12h17.51.907,Tutorial 6,2022.2.4,60.17129563182039,
40,55,62,0,5,5,3,57.09267639997415,58.09272339998279,58.09272339998279,58.09272339998279,t,0.3829648000537418,109678,001,2022-10-21_12h17.51.907,Tutorial 6,2022.2.4,60.17129563182039,
11,30,7,0,6,6,0,58.49254010000732,59.49274620000506,59.49274620000506,59.49274620000506,l,0.3033110999967903,109678,001,2022-10-21_12h17.51.907,Tutorial 6,2022.2.4,60.17129563182039,
